"Date","Time","State","State No","Scale","Injuries","Fatalities","Start Lat","Start Lon","Length","Width"
"2014-01-11","06:37:00","GA","0","0","0","0","34.3328","-84.5286","2.9","10.0"
"2014-01-11","14:32:00","VA","0","0","0","0","37.025","-76.6377","1.36","100.0"
"2014-01-11","14:32:00","VA","0","0","0","0","36.8769","-76.6721","1.95","50.0"
"2014-01-11","14:50:00","VA","0","0","0","0","37.08","-76.3","1.08","75.0"
"2014-02-20","14:25:00","IL","0","2","1","0","39.518","-90.841","12.09","80.0"
"2014-02-20","14:48:00","IL","0","0","0","0","39.7853","-90.4215","0.27","25.0"
"2014-02-20","14:52:00","IL","0","0","0","0","39.8193","-90.4178","8.17","50.0"
"2014-02-20","15:43:00","IL","0","0","0","0","39.5671","-89.6256","0.22","75.0"
"2014-02-20","15:57:00","IL","0","1","0","0","38.7575","-89.6151","20.56","300.0"
"2014-02-20","16:09:00","IL","0","2","1","0","39.2586","-89.234","22.38","200.0"
"2014-02-20","16:36:00","IL","0","1","0","0","39.0158","-88.998","4.8","50.0"
"2014-02-20","16:39:00","MO","0","1","5","0","36.1895","-89.8812","0.24","70.0"
"2014-02-20","16:40:00","IL","0","1","0","0","37.6987","-89.3713","0.39","50.0"
"2014-02-20","16:40:00","IL","0","0","0","0","39.5176","-88.8109","0.28","50.0"
"2014-02-20","16:41:00","MO","0","1","0","0","36.2349","-89.8029","0.04","25.0"
"2014-02-20","16:54:00","IL","0","1","0","0","39.1784","-88.7233","1.54","100.0"
"2014-02-20","17:43:00","IL","0","0","0","0","39.7821","-87.7409","3.0","75.0"
"2014-02-20","18:40:00","IN","0","0","0","0","40.0044","-86.8666","7.48","40.0"
"2014-02-20","18:42:00","KY","0","0","0","0","37.48","-87.8974","6.22","125.0"
"2014-02-20","19:11:00","MS","0","0","0","0","31.0737","-90.0019","0.45","40.0"
"2014-02-20","19:12:00","KY","0","0","0","0","37.1","-87.75","1.59","125.0"
"2014-02-20","19:48:00","MS","0","0","0","0","31.253","-89.77","0.52","50.0"
"2014-02-20","20:32:00","IN","0","0","0","0","39.656","-85.5679","0.04","25.0"
"2014-02-20","20:33:00","LA","0","1","0","0","30.6913","-92.3903","2.65","75.0"
"2014-02-20","20:45:00","AL","0","1","0","0","34.6889","-87.2589","10.72","450.0"
"2014-02-20","20:51:00","AL","0","1","0","0","34.7858","-87.315","1.82","400.0"
"2014-02-20","20:55:00","AL","0","1","1","0","34.895","-87.2783","2.67","500.0"
"2014-02-20","21:05:00","AL","0","1","0","0","34.8798","-87.0707","2.73","500.0"
"2014-02-20","21:14:00","IN","0","1","0","0","39.1792","-85.2854","0.81","50.0"
"2014-02-20","21:28:00","MS","0","1","0","0","31.455","-89.366","4.62","100.0"
"2014-02-20","21:50:00","MS","0","0","0","0","31.607","-89.255","0.6","50.0"
"2014-02-20","21:53:00","TN","0","1","0","0","35.1935","-86.3331","1.64","400.0"
"2014-02-20","21:53:00","OH","0","0","0","0","39.889","-84.4078","2.03","80.0"
"2014-02-20","22:08:00","TN","0","1","0","0","35.176","-86.2048","1.05","100.0"
"2014-02-20","22:23:00","TN","0","1","0","0","35.287","-85.992","1.98","400.0"
"2014-02-20","22:29:00","TN","0","1","0","0","35.3303","-85.9324","1.21","250.0"
