"m3","y30","y1","m6","y2","y10","y3","time","y5","y7"
"8","8.258571","7.920952","7.956190","8.085238","8.206667","8.132381","1990-01-31","8.119524","8.196190"
"8","8.503684","8.111053","8.121053","8.370526","8.473158","8.386842","1990-02-28","8.424737","8.475789"
"8","8.563182","8.350000","8.280000","8.626818","8.588636","8.627273","1990-03-31","8.600455","8.648182"
"8","8.756000","8.4045","8.2700","8.724000","8.7855","8.782500","1990-04-30","8.7680","8.813000"
"8","8.731364","8.316364","8.190909","8.642273","8.758182","8.692273","1990-05-31","8.735909","8.783636"
"8","8.457619","8.096190","8.045238","8.350952","8.480000","8.398095","1990-06-30","8.430476","8.517619"
"8","8.498095","7.940952","7.923333","8.157143","8.471429","8.264762","1990-07-31","8.330952","8.455238"
"8","8.863478","7.779130","7.766087","8.061304","8.752609","8.218696","1990-08-31","8.436522","8.643913"
"8","9.028947","7.763158","7.698421","8.079474","8.893158","8.267368","1990-09-30","8.513684","8.786842"
"7","8.857727","7.551364","7.529545","7.877727","8.719545","8.068636","1990-10-31","8.327727","8.593636"
"7","8.540500","7.313500","7.385000","7.599500","8.3920","7.737000","1990-11-30","8.0225","8.276500"
"7","8.2370","7.050500","7.026500","7.3140","8.0750","7.466000","1990-12-31","7.7265","8.000500"
"6","8.269524","6.644286","6.575714","7.125238","8.091905","7.377619","1991-01-31","7.700000","7.970476"
"6","8.034211","6.266842","6.194737","6.866842","7.854737","7.077368","1991-02-28","7.472632","7.732632"
"6","8.2880","6.3960","6.1985","7.1030","8.110000","7.353500","1991-03-31","7.7720","8.002500"
"6","8.209545","6.235909","5.976818","6.948182","8.039091","7.231818","1991-04-30","7.700909","7.922727"
"6","8.267273","6.130455","5.873182","6.783636","8.067727","7.116818","1991-05-31","7.701364","7.942273"
"6","8.472000","6.358500","6.024000","6.9560","8.284000","7.391500","1991-06-30","7.937000","8.171000"
"6","8.452273","6.305455","5.974545","6.917727","8.272727","7.375909","1991-07-31","7.911364","8.146818"
"5","8.143636","5.778182","5.633636","6.433182","7.900000","6.797273","1991-08-31","7.4250","7.7400"
